zip,county
46913,Carroll
46730,De Kalb
47175,Crawford
46348,La Porte
47968,Montgomery
47859,Parke
47223,Jennings
47955,Montgomery
47837,Clay
47980,White
47280,Bartholomew
46180,Hendricks
47991,Warren
46941,Wabash
46988,Cass
47575,Dubois
47531,Spencer
47135,Harrison
47950,White
47551,Perry
46104,Rush
47597,Knox
47537,Spencer
47003,Union
46987,Grant
47036,Franklin
47515,Perry
46374,Starke
46791,Wells
47352,Henry
47231,Jefferson
47519,Daviess
46959,Miami
46133,Fayette
46570,Marshall
47568,Daviess
46117,Hancock
47357,Wayne
47162,Clark
47585,Pike
47016,Franklin
47011,Switzerland
47833,Clay
46731,Wells
47535,Knox
46365,La Porte
47335,Wayne
46340,La Porte
47120,Washington
46990,Wabash
46766,Wells
47244,Bartholomew
47387,Henry
46781,Wells
47942,Benton
47858,Vigo
47612,Posey
47578,Knox
46915,Carroll
47521,Dubois
47453,Greene
47116,Crawford
47967,Montgomery
47929,White
47975,Warren
47325,Union
47861,Sullivan
47427,Owen
46175,Putnam
47588,Spencer
47866,Vigo
47854,Vermillion
47524,Knox
47965,Montgomery
46957,Grant
46110,Shelby
46950,Cass
46063,Madison
47550,Spencer
47351,Henry
47846,Clay
47270,Jennings
47855,Sullivan
47224,Jefferson
47465,Greene
46301,Porter
46759,Wells
46039,Clinton
47528,Knox
47849,Sullivan
47339,Wayne
47917,Benton
47017,Ripley
46958,Miami
47708,Vanderburgh
47420,Lawrence
47522,Martin
47860,Parke
46537,Marshall
47857,Clay
47110,Harrison
46146,Rush
47590,Pike
47580,Dubois
47449,Greene
47966,Vermillion
47876,Vigo
47576,Perry
47388,Henry
46377,Lake
47881,Clay
47114,Harrison
47871,Vigo
46162,Johnson
47994,Montgomery
47983,Tippecanoe
46393,Porter
47863,Vigo
47282,Jennings
46127,Rush
47525,Perry
47552,Spencer
47616,Posey
47226,Bartholomew
47382,Randolph
47263,Decatur
47035,Franklin
46376,Lake
47683,Gibson
46799,Allen
46998,Cass
46943,Wabash
47010,Franklin
47361,Henry
47574,Perry
47464,Monroe
46111,Morgan
47247,Bartholomew
47457,Greene
46984,Wabash
46931,Fulton
46290,Hamilton
47884,Vermillion
46381,Newton
47982,Warren
46345,La Porte
46961,Cass
47467,Lawrence
47924,Tippecanoe
46103,Hendricks
46155,Rush
47437,Lawrence
47324,Wayne
46968,Starke
47958,Fountain
47584,Pike
47337,Henry
47034,Ripley
47997,Carroll
47925,White
46144,Shelby
46595,St Joseph
46930,Grant
47869,Vigo
47344,Henry
47381,Jay
47123,Crawford
47853,Clay
47160,Harrison
46508,Kosciusko
47964,Newton
47969,Fountain
46967,Cass
47654,Gibson
46379,Newton
47880,Vigo
47455,Owen
46771,Lagrange
47596,Knox
46502,Kosciusko
47458,Monroe
47367,Delaware
46047,Tipton
46125,Morgan
47865,Sullivan
47916,Montgomery
46045,Tipton
46786,Lagrange
46704,Allen
46946,Wabash
46922,Fulton
46183,Marion
47836,Parke
47907,Tippecanoe
47434,Monroe
47104,Clark
47536,Spencer
